sample_idx,y_true,y_pred,y_score
11085,0.0,0.0,0.02135542
7526,0.0,0.0,2.76816e-11
1201,1.0,1.0,0.9986725
1774,0.0,0.0,0.48194647
5038,1.0,1.0,0.99066263
1165,0.0,0.0,4.7800166e-18
2942,1.0,1.0,0.99999356
7220,0.0,0.0,0.024106085
7436,1.0,1.0,0.67229426
11577,0.0,0.0,0.004255084
9053,1.0,1.0,0.99894303
6222,1.0,1.0,0.9999999
2130,0.0,1.0,0.83971035
4613,1.0,1.0,0.99706537
3571,1.0,1.0,0.99561703
10766,0.0,0.0,9.241132e-06
1365,1.0,1.0,1.0
8958,1.0,0.0,0.14765015
8300,1.0,1.0,0.99172556
7689,1.0,1.0,0.9989079
3158,1.0,1.0,1.0
5958,0.0,0.0,3.668831e-08
10752,1.0,1.0,0.99704605
11486,1.0,1.0,0.5726478
11341,0.0,0.0,0.00021021313
6655,1.0,1.0,1.0
9743,1.0,1.0,0.9555033
6503,0.0,0.0,1.947547e-07
2177,1.0,1.0,1.0
11084,0.0,0.0,7.0081677e-07
4692,1.0,1.0,1.0
6302,1.0,1.0,0.9999918
8560,0.0,0.0,0.014690231
8718,1.0,1.0,0.9998673
1868,1.0,1.0,0.998403
7287,0.0,0.0,0.041596066
1200,1.0,0.0,0.23051855
8494,0.0,0.0,0.0007238373
6040,1.0,1.0,0.9999993
12288,1.0,1.0,0.9999732
9258,0.0,0.0,1.6326788e-13
3260,0.0,0.0,0.052630033
664,1.0,1.0,1.0
6366,0.0,0.0,2.5001458e-27
11558,0.0,0.0,5.2662186e-14
4519,1.0,1.0,0.99999964
8905,1.0,1.0,0.99665725
4377,1.0,1.0,1.0
3289,1.0,1.0,0.99206346
10384,0.0,0.0,0.00035996528
2729,0.0,0.0,0.002142874
7949,0.0,0.0,4.1448827e-16
1860,1.0,1.0,0.99999464
11757,0.0,0.0,2.1878236e-08
6104,0.0,0.0,3.0121188e-05
4836,1.0,1.0,0.9999989
11432,0.0,0.0,1.7130583e-08
9754,0.0,0.0,0.0036270942
5505,0.0,0.0,0.13138591
3900,0.0,1.0,0.99725395
9887,0.0,0.0,8.568233e-06
9538,0.0,0.0,0.0023303218
