sample_idx,y_true,y_pred,y_score
11563,0.0,0.0,8.574451e-18
7732,1.0,1.0,0.99999976
10934,1.0,0.0,7.2009702e-06
940,1.0,1.0,0.9805603
8561,0.0,1.0,0.9977379
5658,0.0,0.0,1.5961376e-07
6746,1.0,1.0,1.0
9617,0.0,0.0,0.00045473967
472,1.0,1.0,0.8720147
2899,0.0,0.0,1.0041046e-09
4120,0.0,0.0,4.6407393e-05
2378,0.0,0.0,0.2671305
8791,1.0,1.0,0.9999999
6909,0.0,0.0,3.5460387e-05
2934,1.0,1.0,0.9999933
4779,0.0,0.0,0.0038624427
739,0.0,0.0,7.7937e-08
10792,0.0,0.0,0.014466762
8164,1.0,1.0,0.991479
10509,0.0,1.0,0.587259
3174,1.0,1.0,0.96553046
3783,1.0,0.0,0.0021976703
1448,0.0,0.0,0.0003480673
9670,0.0,1.0,0.9975169
514,1.0,1.0,1.0
11428,0.0,0.0,0.0020974143
5485,0.0,0.0,2.6394972e-08
10205,1.0,1.0,1.0
1110,1.0,0.0,0.0070314044
2525,0.0,0.0,2.911241e-05
5479,0.0,0.0,1.3270006e-05
10306,1.0,1.0,0.9952355
8345,1.0,1.0,0.99991643
8773,0.0,0.0,4.926379e-05
4917,1.0,1.0,1.0
3789,0.0,0.0,0.008641285
3685,0.0,0.0,2.473586e-10
1236,0.0,0.0,0.00021142582
5642,0.0,0.0,4.88661e-14
1492,0.0,0.0,0.00012854235
10916,0.0,0.0,0.00013895668
1892,1.0,1.0,0.99953794
4285,1.0,1.0,0.9975853
12154,0.0,0.0,0.0011447803
5245,1.0,0.0,0.05497892
7264,1.0,1.0,0.9999999
10859,1.0,0.0,0.40809196
2990,1.0,1.0,1.0
5682,0.0,0.0,0.006646125
4522,1.0,1.0,0.9999701
9770,1.0,1.0,1.0
1573,1.0,1.0,0.99998
10001,0.0,0.0,0.05245637
9398,1.0,1.0,0.9999993
2960,1.0,1.0,0.99703693
9041,1.0,1.0,0.9988858
1774,0.0,0.0,0.06460218
2914,0.0,0.0,1.3745631e-08
11656,0.0,0.0,5.7698555e-12
10883,0.0,0.0,5.9144382e-05
