sample_idx,y_true,y_pred,y_score
9284,1.0,1.0,0.9999958
8311,0.0,1.0,0.9933708
7634,0.0,0.0,7.8764946e-11
4818,1.0,1.0,0.99999917
9432,1.0,1.0,1.0
6182,0.0,0.0,1.4011681e-09
3845,0.0,0.0,4.122837e-16
12393,1.0,0.0,6.815271e-09
6192,0.0,0.0,1.1974228e-06
12377,0.0,0.0,0.042537853
1412,1.0,1.0,0.99969757
7275,1.0,1.0,0.9947402
7903,0.0,1.0,0.9984977
327,0.0,0.0,4.1322706e-15
10642,1.0,1.0,0.99981624
11896,0.0,0.0,2.5371173e-06
9544,0.0,0.0,4.51227e-07
5601,0.0,0.0,1.3462851e-13
7332,1.0,1.0,0.99202263
7154,0.0,0.0,0.004169207
3222,0.0,0.0,0.0038613786
9718,1.0,1.0,0.9979711
3545,0.0,0.0,6.189253e-05
6394,0.0,0.0,1.3284311e-07
7965,1.0,1.0,0.9999908
12372,1.0,0.0,2.194322e-08
10134,1.0,0.0,0.020579038
10119,0.0,0.0,0.0019639744
6121,0.0,0.0,0.022354132
5217,1.0,1.0,0.9931151
6486,1.0,1.0,1.0
622,0.0,0.0,7.261622e-11
5510,0.0,0.0,9.939938e-06
1209,1.0,1.0,0.999783
9559,0.0,0.0,7.323766e-05
6040,1.0,1.0,0.9999995
9021,0.0,0.0,1.318063e-11
1559,1.0,1.0,0.99999857
3000,1.0,1.0,1.0
316,1.0,0.0,0.07642542
6547,1.0,1.0,0.9998934
949,0.0,0.0,2.421473e-16
4581,1.0,1.0,0.9999012
2941,1.0,1.0,0.56843406
1543,0.0,0.0,1.6756445e-10
2352,1.0,1.0,0.6197698
7844,0.0,0.0,8.857923e-08
9628,0.0,0.0,1.5729615e-06
1653,1.0,1.0,0.999998
11020,1.0,1.0,0.998686
1158,0.0,0.0,5.635237e-06
1586,0.0,1.0,0.996505
3113,1.0,1.0,0.99802256
6719,1.0,0.0,0.16357537
10199,1.0,1.0,1.0
11392,0.0,0.0,3.3793543e-07
2232,1.0,1.0,0.9999999
6267,0.0,0.0,7.374228e-08
6127,0.0,1.0,0.9664496
8750,0.0,0.0,4.078378e-06
6194,0.0,0.0,3.8837034e-06
12310,1.0,1.0,0.9987134
12286,0.0,0.0,0.0010679017
3674,0.0,0.0,8.236609e-12
5335,1.0,1.0,0.99963164
314,0.0,0.0,0.027332917
791,1.0,1.0,1.0
6453,0.0,0.0,0.004878716
5024,1.0,1.0,0.99999964
11755,0.0,0.0,0.01860584
7630,0.0,0.0,2.575219e-05
11410,0.0,0.0,1.9108304e-06
7459,0.0,0.0,4.4470656e-08
7112,1.0,1.0,0.9989772
2926,1.0,1.0,0.6371465
3605,0.0,0.0,0.14009027
5291,0.0,1.0,0.8731574
4049,1.0,1.0,0.99950063
2585,1.0,1.0,0.99863774
8905,1.0,1.0,0.99823725
3077,1.0,1.0,1.0
